city,state,airport_code,hub_status,annual_enplanements,airport_lat,airport_lon,is_large_hub,is_medium_hub,direct_destinations
Atlanta,GA,ATL,Large,47033942,33.6407,-84.4277,True,False,184
Dallas/Fort Worth,TX,DFW,Large,39806005,32.8998,-97.0403,True,False,272
Denver,CO,DEN,Large,35950814,39.8561,-104.6737,True,False,224
Chicago,IL,ORD,Large,41450432,41.9742,-87.9073,True,False,212
Los Angeles,CA,LAX,Large,43762522,33.9425,-118.4081,True,False,269
New York,NY,JFK,Large,30630039,40.6413,-73.7781,True,False,255
Orlando,FL,MCO,Large,28142551,28.4312,-81.3081,True,False,235
Las Vegas,NV,LAS,Large,26741371,36.084,-115.1537,True,False,256
Charlotte,NC,CLT,Large,25285644,35.214,-80.9431,True,False,219
Phoenix,AZ,PHX,Large,23550006,33.4373,-112.0078,True,False,210
Miami,FL,MIA,Large,22891155,25.7959,-80.287,True,False,247
Seattle,WA,SEA,Large,24906782,47.4502,-122.3088,True,False,209
Houston,TX,IAH,Large,22046538,29.9902,-95.3368,True,False,194
San Francisco,CA,SFO,Large,22594498,37.6213,-122.379,True,False,214
Newark,NJ,EWR,Large,23223933,40.6895,-74.1745,True,False,223
Boston,MA,BOS,Large,20377110,42.3656,-71.0096,True,False,207
Minneapolis,MN,MSP,Large,18749580,44.8848,-93.2223,True,False,127
Detroit,MI,DTW,Large,16976833,42.2162,-83.3554,True,False,121
Philadelphia,PA,PHL,Large,15245721,39.8729,-75.2437,True,False,155
Salt Lake City,UT,SLC,Large,13471314,40.7899,-111.9791,True,False,199
San Diego,CA,SAN,Large,12666093,32.7336,-117.1897,True,False,178
Baltimore,MD,BWI,Large,12372096,39.1774,-76.6684,True,False,164
Tampa,FL,TPA,Large,11303706,27.9772,-82.5311,True,False,139
Nashville,TN,BNA,Large,10324580,36.1263,-86.6774,True,False,178
Austin,TX,AUS,Large,10036714,30.1975,-97.6664,True,False,190
Honolulu,HI,HNL,Large,9841424,21.3187,-157.9225,True,False,61
Portland,OR,PDX,Medium,9498555,45.5898,-122.5951,False,True,95
Raleigh,NC,RDU,Medium,7217854,35.8801,-78.788,False,True,69
St. Louis,MO,STL,Medium,7865742,38.7499,-90.3748,False,True,62
