name,state,median_household_income,median_home_value
Abanda,AL,29263.0,75800.0
Abbeville,AL,35147.0,96600.0
Adamsville,AL,58631.0,133100.0
Addison,AL,47188.0,98200.0
Akron,AL,53929.0,59300.0
Alabaster,AL,89423.0,227300.0
Albertville,AL,55933.0,149400.0
Alexander City,AL,42141.0,124200.0
Alexandria,AL,95039.0,163700.0
Aliceville,AL,30152.0,91600.0
Allgood,AL,61964.0,94400.0
Altoona,AL,38750.0,111900.0
Andalusia,AL,44196.0,140400.0
Anderson,AL,81250.0,194200.0
Anniston,AL,45642.0,131800.0
Arab,AL,56471.0,183800.0
Ardmore,AL,39973.0,149000.0
Argo,AL,87134.0,209700.0
Ariton,AL,33370.0,99400.0
Arley,AL,41458.0,87500.0
Ashford,AL,51215.0,161000.0
Ashland,AL,30850.0,117800.0
Ashville,AL,54785.0,181800.0
Athens,AL,57444.0,224200.0
Atmore,AL,30472.0,122800.0
Attalla,AL,51875.0,106300.0
Auburn,AL,55509.0,327000.0
Autaugaville,AL,41607.0,107500.0
Avon,AL,52188.0,143400.0
Axis,AL,,215600.0
Babbie,AL,59712.0,106300.0
Baileyton,AL,58155.0,87500.0
Bakerhill,AL,50278.0,118800.0
Ballplay,AL,57582.0,131300.0
Banks,AL,46250.0,
Bay Minette,AL,36899.0,136600.0
Bayou La Batre,AL,40000.0,87700.0
Bear Creek,AL,38657.0,92900.0
Beatrice,AL,33214.0,66700.0
Beaverton,AL,46875.0,
Belgreen,AL,37083.0,
Belk,AL,42200.0,
Bellamy,AL,,
Belle Fontaine,AL,46944.0,164000.0
Benton,AL,44583.0,85000.0
Berlin,AL,61250.0,135100.0
Berry,AL,45329.0,102200.0
Bessemer,AL,34953.0,118600.0
Billingsley,AL,51250.0,113500.0
Birmingham,AL,42464.0,123000.0
Black,AL,55846.0,57400.0
Blountsville,AL,43455.0,123200.0
Blue Ridge,AL,113571.0,306800.0
Blue Springs,AL,54167.0,72900.0
Boaz,AL,43276.0,131500.0
Boligee,AL,14034.0,65900.0
Bon Air,AL,,73300.0
Bon Secour,AL,58500.0,236900.0
Boykin,AL,33250.0,
Brantley,AL,27375.0,98700.0
Brantleyville,AL,37857.0,33400.0
Brent,AL,26250.0,128000.0
Brewton,AL,45881.0,133800.0
Bridgeport,AL,34000.0,87600.0
Brighton,AL,34471.0,69800.0
Brilliant,AL,39318.0,
Bristow Cove,AL,27333.0,178100.0
Brook Highland,AL,73941.0,417300.0
Brookside,AL,55568.0,106900.0
Brookwood,AL,75125.0,172500.0
Broomtown,AL,,
Brundidge,AL,37627.0,82900.0
Bucks,AL,,
Butler,AL,47250.0,130100.0
Calera,AL,73775.0,185400.0
Calvert,AL,,
Camden,AL,35583.0,85800.0
Camp Hill,AL,30931.0,64300.0
Carbon Hill,AL,27581.0,75500.0
Cardiff,AL,,
Carlisle-Rockledge,AL,55065.0,157700.0
Carlton,AL,,
Carolina,AL,48750.0,97900.0
Carrollton,AL,28919.0,132300.0
Castleberry,AL,,50000.0
Catherine,AL,,
Cedar Bluff,AL,45861.0,158800.0
Center Point,AL,49886.0,119100.0
Centre,AL,41924.0,165100.0
Centreville,AL,36777.0,139900.0
Chatom,AL,51324.0,176300.0
Chelsea,AL,102344.0,295100.0
Cherokee,AL,50446.0,92700.0
Chickasaw,AL,38985.0,89300.0
Childersburg,AL,45483.0,121100.0
Choccolocco,AL,67975.0,218800.0
Chunchula,AL,,
Citronelle,AL,54892.0,170100.0
Clanton,AL,48566.0,181700.0
Clay,AL,74198.0,181200.0
Clayhatchee,AL,51685.0,93800.0
Clayton,AL,30938.0,91200.0
Cleveland,AL,49387.0,147500.0
Clio,AL,25290.0,57100.0
Coaling,AL,74032.0,201600.0
Coats Bend,AL,48243.0,153300.0
Coffee Springs,AL,45388.0,67200.0
Coffeeville,AL,26000.0,73100.0
Coker,AL,54559.0,172800.0
Collinsville,AL,38438.0,
Colony,AL,36250.0,54500.0
Columbia,AL,61875.0,137500.0
Columbiana,AL,58214.0,202500.0
Concord,AL,72724.0,144700.0
Coosada,AL,63365.0,142000.0
Cordova,AL,36339.0,76400.0
Cottondale,AL,54688.0,108700.0
Cottonwood,AL,31591.0,106400.0
County Line,AL,85625.0,86000.0
Courtland,AL,39900.0,
Cowarts,AL,56845.0,154000.0
Creola,AL,63125.0,163100.0
Crossville,AL,47750.0,122400.0
Cuba,AL,73333.0,160400.0
Cullman,AL,59982.0,200900.0
Cullomburg,AL,,
Cusseta,AL,75729.0,
Dadeville,AL,46477.0,145900.0
Daleville,AL,42969.0,114000.0
Daphne,AL,80657.0,276300.0
Dauphin Island,AL,62000.0,355200.0
Daviston,AL,63438.0,131300.0
Dayton,AL,53125.0,68300.0
Deatsville,AL,106080.0,231400.0
Decatur,AL,55164.0,170000.0
Deer Park,AL,136563.0,
Delta,AL,,
Demopolis,AL,51364.0,198600.0
Detroit,AL,,69500.0
Dodge City,AL,53750.0,120700.0
Dora,AL,55189.0,156300.0
Dothan,AL,53704.0,175900.0
Double Springs,AL,31827.0,118600.0
Douglas,AL,48250.0,153100.0
Dozier,AL,43266.0,84600.0
Dunnavant,AL,64107.0,191200.0
Dutton,AL,,104200.0
Eagle Point,AL,147500.0,445500.0
East Brewton,AL,40353.0,75800.0
East Point,AL,78703.0,116000.0
Eclectic,AL,52222.0,151900.0
Edgewater,AL,140679.0,47600.0
Edwardsville,AL,74688.0,122500.0
Egypt,AL,34779.0,185500.0
Elba,AL,41509.0,91700.0
Elberta,AL,47452.0,198600.0
Eldridge,AL,53333.0,118800.0
Elkmont,AL,42917.0,160400.0
Elmore,AL,29946.0,96300.0
Emelle,AL,,
Emerald Mountain,AL,121466.0,297800.0
Enterprise,AL,64888.0,190700.0
Epes,AL,,112900.0
Equality,AL,,266700.0
Ethelsville,AL,67083.0,172200.0
Eufaula,AL,39511.0,134100.0
Eunola,AL,35038.0,
Eutaw,AL,33371.0,109800.0
Eva,AL,96071.0,167400.0
Evergreen,AL,37679.0,99300.0
Excel,AL,64926.0,136100.0
Fairfield,AL,45646.0,117400.0
Fairford,AL,,
Fairhope,AL,85456.0,392300.0
Fairview,AL,42500.0,204400.0
Falkville,AL,42863.0,113600.0
Faunsdale,AL,,67500.0
Fayette,AL,32375.0,120900.0
Fayetteville,AL,72058.0,212200.0
Fitzpatrick,AL,,
Five Points,AL,76667.0,202100.0
Flomaton,AL,37500.0,104300.0
Florala,AL,30313.0,95900.0
Florence,AL,47048.0,168800.0
Foley,AL,60090.0,236900.0
Forestdale,AL,62908.0,149000.0
Forkland,AL,28367.0,55700.0
Fort Deposit,AL,20542.0,65400.0
Fort Payne,AL,44549.0,145600.0
Fort Rucker,AL,72681.0,
Franklin,AL,81103.0,63800.0
Fredonia,AL,,258800.0
Frisco City,AL,33893.0,84000.0
Fruitdale,AL,,
Fruithurst,AL,54545.0,92000.0
Fulton,AL,56205.0,115100.0
Fultondale,AL,72741.0,173500.0
Fyffe,AL,36964.0,108500.0
Gadsden,AL,39696.0,96900.0
Gainesville,AL,,
Gallant,AL,50574.0,89100.0
Gantt,AL,9786.0,184400.0
Garden City,AL,54318.0,108800.0
Gardendale,AL,78719.0,226600.0
Gaylesville,AL,38750.0,193800.0
Geiger,AL,40000.0,
Geneva,AL,44756.0,107200.0
Georgiana,AL,27375.0,67100.0
Geraldine,AL,51923.0,177800.0
Gilbertown,AL,65929.0,149200.0
Glen Allen,AL,43370.0,97000.0
Glencoe,AL,68893.0,182400.0
Glenwood,AL,38056.0,50000.0
Goldville,AL,52500.0,91700.0
Good Hope,AL,68500.0,165100.0
Goodwater,AL,35724.0,82400.0
Gordo,AL,54688.0,121700.0
Gordon,AL,41500.0,81300.0
Gordonville,AL,45469.0,73800.0
Goshen,AL,39722.0,122300.0
Graham,AL,,
Grand Bay,AL,72125.0,133300.0
Grant,AL,81875.0,210100.0
Grayson Valley,AL,58090.0,118600.0
Graysville,AL,65671.0,116800.0
Greensboro,AL,24820.0,88800.0
Greenville,AL,39087.0,105200.0
Grimes,AL,44063.0,73000.0
Grove Hill,AL,46218.0,136500.0
Guin,AL,48587.0,96800.0
Gulfcrest,AL,31250.0,149200.0
Gulf Shores,AL,62021.0,331300.0
Guntersville,AL,61453.0,268700.0
Gurley,AL,58333.0,156900.0
Gu-Win,AL,37250.0,150000.0
Hackleburg,AL,34757.0,102200.0
Hackneyville,AL,,
Haleburg,AL,,204700.0
Haleyville,AL,52656.0,115400.0
Hamilton,AL,50882.0,104700.0
Hammondville,AL,45250.0,106300.0
Hanceville,AL,34782.0,149100.0
Hanover,AL,102988.0,
Harpersville,AL,70919.0,182100.0
Hartford,AL,44977.0,122100.0
Hartselle,AL,64876.0,175600.0
Harvest,AL,96336.0,232000.0
Hatton,AL,250001.0,
Hayden,AL,80221.0,205300.0
Hayneville,AL,31136.0,86400.0
Hazel Green,AL,75625.0,162200.0
Headland,AL,80811.0,167200.0
Heath,AL,60857.0,77500.0
Heflin,AL,45288.0,160000.0
Helena,AL,107360.0,275600.0
Henagar,AL,44338.0,116000.0
Highland Lake,AL,57422.0,253100.0
Highland Lakes,AL,157868.0,519200.0
Hillsboro,AL,60917.0,153700.0
Hissop,AL,,
Hobson,AL,,195400.0
Hobson City,AL,46346.0,96500.0
Hodges,AL,53750.0,73300.0
Hokes Bluff,AL,72333.0,186400.0
Hollins,AL,39375.0,120500.0
Hollis Crossroads,AL,60489.0,127800.0
Holly Pond,AL,46250.0,168500.0
Hollywood,AL,52650.0,89200.0
Holt,AL,44135.0,104700.0
Holtville,AL,66292.0,207600.0
Homewood,AL,97366.0,463500.0
Hoover,AL,101765.0,366200.0
Horn Hill,AL,51250.0,140800.0
Hueytown,AL,64176.0,134200.0
Huguley,AL,41338.0,117900.0
Huntsville,AL,67874.0,236300.0
Hurtsboro,AL,40982.0,116700.0
Hytop,AL,65000.0,117600.0
Ider,AL,40577.0,127900.0
Indian Springs Village,AL,135114.0,470200.0
Irondale,AL,68869.0,202600.0
Ivalee,AL,38098.0,114800.0
