name,state,population,is_county
New York,NY,8622467,False
Los Angeles,CA,3881041,False
Chicago,IL,2721914,False
Houston,TX,2296253,False
Phoenix,AZ,1609456,False
Philadelphia,PA,1593208,False
San Antonio,TX,1445662,False
San Diego,CA,1383987,False
Dallas,TX,1300642,False
San Jose,CA,1001176,False
Austin,TX,958202,False
Jacksonville,FL,950203,False
Fort Worth,TX,924663,False
Columbus,OH,902449,False
Indianapolis city (balance),IN,882006,False
Charlotte,NC,875045,False
San Francisco,CA,851036,False
Seattle,WA,734603,False
Denver,CO,710800,False
Nashville-Davidson metropolitan government (balance),TN,684103,False
Oklahoma City,OK,681088,False
El Paso,TX,677181,False
Washington,DC,670587,False
Boston,MA,665945,False
Portland,OR,646101,False
Las Vegas,NV,644835,False
Detroit,MI,636787,False
Memphis,TN,630027,False
Louisville/Jefferson County metro government (balance),KY,629176,False
Baltimore,MD,584548,False
Milwaukee,WI,573299,False
Albuquerque,NM,562551,False
Fresno,CA,541528,False
Tucson,AZ,541033,False
Sacramento,CA,523600,False
Kansas City,MO,505958,False
Mesa,AZ,503390,False
Atlanta,GA,494838,False
Omaha,NE,489201,False
Colorado Springs,CO,479612,False
Raleigh,NC,465517,False
Long Beach,CA,462293,False
Virginia Beach,VA,457900,False
Miami,FL,443665,False
Oakland,CA,437825,False
Minneapolis,MN,426877,False
Tulsa,OK,411938,False
Bakersfield,CA,404321,False
Wichita,KS,395951,False
Arlington,TX,393469,False
Tampa,FL,388768,False
Aurora,CO,387349,False
New Orleans,LA,380408,False
Cleveland,OH,370365,False
Urban Honolulu,HI,348547,False
Anaheim,CA,347111,False
Lexington-Fayette urban county,KY,321276,False
Stockton,CA,320030,False
Henderson,NV,318063,False
Corpus Christi,TX,317804,False
Riverside,CA,316076,False
Santa Ana,CA,311379,False
Cincinnati,OH,308870,False
St. Paul,MN,308806,False
Orlando,FL,307738,False
Newark,NJ,307355,False
Irvine,CA,304527,False
Pittsburgh,PA,303843,False
St. Louis,MO,298018,False
Greensboro,NC,297202,False
Anchorage,AK,290674,False
Lincoln,NE,290531,False
Jersey City,NJ,287899,False
Plano,TX,284948,False
Durham,NC,284094,False
Buffalo,NY,276688,False
Chula Vista,CA,276103,False
Chandler,AZ,275618,False
Toledo,OH,269962,False
Madison,WI,268516,False
Gilbert,AZ,267267,False
Reno,NV,265196,False
Fort Wayne,IN,264514,False
North Las Vegas,NV,264022,False
St. Petersburg,FL,259343,False
Lubbock,TX,258190,False
Laredo,TX,255293,False
Irving,TX,254962,False
Winston-Salem,NC,249571,False
Chesapeake,VA,249377,False
Glendale,AZ,248083,False
Garland,TX,244026,False
Scottsdale,AZ,240537,False
Norfolk,VA,236973,False
Arlington,VA,235845,False
Boise City,ID,234192,False
Fremont,CA,228795,False
Spokane,WA,227922,False
Richmond,VA,227171,False
Santa Clarita,CA,225850,False
Baton Rouge,LA,225500,False
Enterprise,NV,225461,False
Hialeah,FL,222996,False
San Bernardino,CA,221041,False
Spring Valley,NV,220114,False
Tacoma,WA,219234,False
Modesto,CA,218308,False
Huntsville,AL,215025,False
Des Moines,IA,213164,False
Rochester,NY,210992,False
Port St. Lucie,FL,210520,False
Yonkers,NY,209780,False
Moreno Valley,CA,209578,False
Fontana,CA,209279,False
Fayetteville,NC,208697,False
Columbus,GA,204572,False
Worcester,MA,204191,False
Oxnard,CA,202279,False
Little Rock,AR,202218,False
Frisco,TX,202075,False
Augusta-Richmond County consolidated government (balance),GA,201615,False
Salt Lake City,UT,201269,False
Birmingham,AL,200431,False
Amarillo,TX,200360,False
Montgomery,AL,199819,False
Cape Coral,FL,198912,False
Sunrise Manor,NV,198325,False
Tallahassee,FL,198259,False
Grand Rapids,MI,198096,False
Huntington Beach,CA,197481,False
Grand Prairie,TX,197279,False
Overland Park,KS,196676,False
McKinney,TX,196160,False
Glendale,CA,194512,False
Sioux Falls,SD,193401,False
Knoxville,TN,191857,False
Peoria,AZ,191292,False
Vancouver,WA,190700,False
Akron,OH,190273,False
Paradise,NV,189733,False
Providence,RI,189715,False
Brownsville,TX,186999,False
Mobile,AL,186316,False
Shreveport,LA,186183,False
Newport News,VA,185118,False
Fort Lauderdale,FL,182673,False
Aurora,IL,181405,False
Chattanooga,TN,181288,False
Tempe,AZ,181005,False
Santa Rosa,CA,178221,False
