name,state,population,county_fips,is_county
Los Angeles County,CA,9936690,037,True
Cook County,IL,5225367,031,True
Harris County,TX,4726177,201,True
Maricopa County,AZ,4430871,013,True
San Diego County,CA,3289701,073,True
Orange County,CA,3175227,059,True
Miami-Dade County,FL,2688237,086,True
Kings County,NY,2679620,047,True
Dallas County,TX,2604053,113,True
Riverside County,CA,2429487,065,True
Queens County,NY,2360826,081,True
Clark County,NV,2265926,003,True
King County,WA,2254371,033,True
San Bernardino County,CA,2180563,071,True
Tarrant County,TX,2113854,439,True
Bexar County,TX,2014059,029,True
Broward County,FL,1940907,011,True
Santa Clara County,CA,1916831,085,True
Wayne County,MI,1781641,163,True
Alameda County,CA,1663823,001,True
New York County,NY,1645867,061,True
Middlesex County,MA,1623109,017,True
Philadelphia County,PA,1593208,101,True
Sacramento County,CA,1579211,067,True
Suffolk County,NY,1524486,103,True
Palm Beach County,FL,1494805,099,True
Hillsborough County,FL,1468560,057,True
Bronx County,NY,1443229,005,True
Orange County,FL,1427403,095,True
Nassau County,NY,1389160,059,True
Franklin County,OH,1318149,049,True
Travis County,TX,1289054,453,True
Oakland County,MI,1272264,125,True
Hennepin County,MN,1270787,053,True
Cuyahoga County,OH,1256620,035,True
Allegheny County,PA,1245310,003,True
Salt Lake County,UT,1180643,035,True
Contra Costa County,CA,1162648,013,True
Fairfax County,VA,1145354,059,True
Wake County,NC,1132103,183,True
Mecklenburg County,NC,1115403,119,True
Collin County,TX,1079153,085,True
Fulton County,GA,1061944,121,True
Montgomery County,MD,1056910,031,True
Pima County,AZ,1042393,019,True
Honolulu County,HI,1010100,003,True
Fresno County,CA,1008280,019,True
St. Louis County,MO,999703,189,True
Westchester County,NY,997904,119,True
Duval County,FL,995708,031,True
"Capitol Planning Region, Connecticut County",CT,977165,110,True
Marion County,IN,971737,097,True
Pinellas County,FL,959918,103,True
Gwinnett County,GA,957977,135,True
Prince George's County,MD,957189,033,True
Bergen County,NJ,953243,003,True
Erie County,NY,951232,029,True
Milwaukee County,WI,933063,079,True
DuPage County,IL,930559,043,True
Shelby County,TN,926440,157,True
Pierce County,WA,918993,053,True
Denton County,TX,914870,121,True
Kern County,CA,906883,029,True
Macomb County,MI,878453,099,True
Hidalgo County,TX,873167,215,True
El Paso County,TX,863832,141,True
Middlesex County,NJ,860147,023,True
Worcester County,MA,858898,027,True
Montgomery County,PA,856399,091,True
Essex County,NJ,853374,013,True
San Francisco County,CA,851036,075,True
Baltimore County,MD,850737,005,True
Ventura County,CA,842009,111,True
Fort Bend County,TX,832607,157,True
Snohomish County,WA,828337,061,True
Hamilton County,OH,827671,061,True
Multnomah County,OR,808098,051,True
Essex County,MA,806103,009,True
Oklahoma County,OK,795822,109,True
Suffolk County,MA,785443,025,True
San Joaquin County,CA,779445,077,True
Jefferson County,KY,779232,111,True
Lee County,FL,772902,071,True
Cobb County,GA,765813,067,True
DeKalb County,GA,761209,089,True
Monroe County,NY,756406,055,True
San Mateo County,CA,754250,081,True
Polk County,FL,736229,105,True
El Paso County,CO,730323,041,True
Norfolk County,MA,722112,021,True
Jackson County,MO,715526,095,True
Lake County,IL,713159,097,True
Hudson County,NJ,712029,017,True
Denver County,CO,710800,031,True
Davidson County,TN,709786,037,True
Will County,IL,696774,197,True
Bernalillo County,NM,674692,001,True
Jefferson County,AL,672265,073,True
"District of Columbia, District of Columbia County",DC,670587,001,True
Tulsa County,OK,668923,143,True
Utah County,UT,666021,049,True
Providence County,RI,657984,007,True
Kent County,MI,657321,081,True
Arapahoe County,CO,654453,005,True
Bucks County,PA,645163,017,True
Monmouth County,NJ,643064,025,True
Ocean County,NJ,638691,029,True
Montgomery County,TX,629989,339,True
"Western Connecticut Planning Region, Connecticut County",CT,620666,190,True
Williamson County,TX,617396,491,True
Johnson County,KS,610742,091,True
Brevard County,FL,610723,009,True
Washington County,OR,599541,067,True
Anne Arundel County,MD,588109,003,True
"Baltimore city, Maryland County",MD,584548,510,True
Douglas County,NE,582638,055,True
Jefferson County,CO,580519,059,True
Bristol County,MA,576699,005,True
Delaware County,PA,575312,045,True
Union County,NJ,572079,039,True
"South Central Connecticut Planning Region, Connecticut County",CT,571298,170,True
New Castle County,DE,570567,003,True
Pasco County,FL,569211,101,True
Dane County,WI,559891,025,True
Volusia County,FL,558520,127,True
Lancaster County,PA,553202,071,True
Stanislaus County,CA,552063,099,True
Ramsey County,MN,547202,123,True
Guilford County,NC,539557,081,True
Summit County,OH,539361,153,True
Spokane County,WA,538711,063,True
Chester County,PA,536474,029,True
Montgomery County,OH,536121,113,True
Plymouth County,MA,529548,023,True
Greenville County,SC,528251,045,True
Sedgwick County,KS,522700,173,True
Camden County,NJ,522581,007,True
Adams County,CO,520149,001,True
Passaic County,NJ,519986,031,True
Kane County,IL,517254,089,True
Morris County,NJ,508816,027,True
Clark County,WA,504091,011,True
Lake County,IN,497682,089,True
Ada County,ID,497494,001,True
Polk County,IA,493378,153,True
Richmond County,NY,492925,085,True
Sonoma County,CA,488436,097,True
Washoe County,NV,486674,031,True
Knox County,TN,481406,093,True
Prince William County,VA,481114,153,True
Tulare County,CA,473446,107,True
Onondaga County,NY,472637,067,True
Seminole County,FL,471321,117,True
Hampden County,MA,464575,013,True
Burlington County,NJ,461853,005,True
"Virginia Beach city, Virginia County",VA,457900,810,True
York County,PA,457051,133,True
"East Baton Rouge Parish, Louisiana County",LA,454369,033,True
"Naugatuck Valley Planning Region, Connecticut County",CT,451887,140,True
Solano County,CA,450995,095,True
Santa Barbara County,CA,445213,083,True
Sarasota County,FL,439392,115,True
Dakota County,MN,439179,037,True
Monterey County,CA,437609,053,True
"Jefferson Parish, Louisiana County",LA,436171,051,True
Pinal County,AZ,433338,021,True
Lucas County,OH,430014,095,True
Berks County,PA,428483,011,True
Hillsborough County,NH,422733,011,True
Cameron County,TX,421854,061,True
Clackamas County,OR,420925,005,True
Loudoun County,VA,420773,107,True
Richland County,SC,416161,079,True
Mobile County,AL,413878,097,True
Charleston County,SC,409840,019,True
Waukesha County,WI,407290,133,True
Placer County,CA,406608,061,True
St. Charles County,MO,406262,183,True
Genesee County,MI,405280,049,True
Manatee County,FL,405069,081,True
Orange County,NY,401237,071,True
Pulaski County,AR,398322,119,True
Osceola County,FL,393745,097,True
Madison County,AL,389781,089,True
Butler County,OH,388327,017,True
Lake County,FL,386829,069,True
Allen County,IN,385456,003,True
Forsyth County,NC,383739,067,True
Mercer County,NJ,383732,021,True
Lane County,OR,382218,039,True
"Orleans Parish, Louisiana County",LA,380408,071,True
Collier County,FL,380221,021,True
Marion County,FL,378225,083,True
Brazoria County,TX,374600,039,True
Stark County,OH,374199,151,True
Lehigh County,PA,374110,077,True
Bell County,TX,372821,027,True
Washtenaw County,MI,370231,161,True
Hamilton County,TN,367193,065,True
Chesterfield County,VA,366019,041,True
Anoka County,MN,363985,003,True
Davis County,UT,363032,011,True
Douglas County,CO,360206,035,True
Larimer County,CO,359363,069,True
Horry County,SC,356578,051,True
Westmoreland County,PA,354414,129,True
Nueces County,TX,353245,355,True
Galveston County,TX,350801,167,True
Hamilton County,IN,349527,057,True
Marion County,OR,345815,047,True
Somerset County,NJ,344978,035,True
Rutherford County,TN,343727,149,True
Rockland County,NY,337326,087,True
Cumberland County,NC,335207,051,True
St. Lucie County,FL,334682,111,True
Henrico County,VA,333120,087,True
Howard County,MD,332011,027,True
Weld County,CO,331466,123,True
Spartanburg County,SC,330119,083,True
Boulder County,CO,328658,013,True
"Greater Bridgeport Planning Region, Connecticut County",CT,326381,120,True
Luzerne County,PA,325396,079,True
Durham County,NC,325101,063,True
Lancaster County,NE,322063,109,True
Escambia County,FL,321296,033,True
Fayette County,KY,321276,067,True
Rockingham County,NH,315169,015,True
Albany County,NY,315041,001,True
Northampton County,PA,314299,095,True
Lorain County,OH,313101,093,True
Lubbock County,TX,311509,303,True
McHenry County,IL,311133,111,True
Cumberland County,ME,303357,005,True
Gloucester County,NJ,302621,015,True
Greene County,MO,299188,077,True
"St. Louis city, Missouri County",MO,298018,510,True
