state,avg_temp_summer,avg_temp_winter,sunny_days,annual_rainfall,annual_snow
AL,91,35,199,56,0.5
AK,65,-5,160,17,75.0
AZ,104,40,299,8,0.0
AR,92,31,217,50,5.0
CA,85,42,269,22,0.0
CO,88,17,245,16,60.0
CT,84,18,198,47,35.0
DE,86,26,206,45,15.0
FL,91,50,237,54,0.0
GA,90,35,218,50,1.0
HI,85,65,271,17,0.0
ID,88,22,206,12,45.0
IL,85,15,189,37,36.0
IN,85,18,186,42,26.0
IA,86,8,199,35,33.0
KS,92,18,225,29,17.0
KY,88,24,195,48,13.0
LA,92,40,216,60,0.0
ME,78,6,190,45,75.0
MD,87,25,212,44,18.0
MA,82,19,200,47,48.0
MI,82,14,178,32,60.0
MN,83,-2,196,30,54.0
MS,92,35,217,56,1.0
MO,89,20,215,42,18.0
MT,85,10,206,15,50.0
NE,89,11,219,25,27.0
NV,100,28,292,8,20.0
NH,81,8,194,44,65.0
NJ,85,23,205,46,25.0
NM,92,25,278,14,10.0
NY,82,16,185,46,55.0
NC,88,30,213,48,5.0
ND,84,-4,200,18,42.0
OH,84,19,177,39,30.0
OK,94,28,232,36,9.0
OR,82,35,164,43,5.0
PA,84,20,186,42,35.0
RI,82,21,200,47,35.0
SC,90,33,220,48,1.0
SD,87,5,212,20,40.0
TN,90,29,208,52,4.0
TX,96,38,232,29,1.0
UT,93,22,232,16,55.0
VT,80,6,187,42,80.0
VA,87,27,210,44,15.0
WA,76,35,165,38,12.0
WV,84,23,180,44,30.0
WI,82,6,187,33,50.0
WY,85,10,220,13,70.0
DC,88,28,203,40,15.0
