state,name,lat,lon
AL,Autauga County,32.532237,-86.64644
AL,Baldwin County,30.659218,-87.746067
AL,Barbour County,31.870253,-85.405104
AL,Bibb County,33.015893,-87.127148
AL,Blount County,33.977358,-86.56644
AL,Bullock County,32.101759,-85.717261
AL,Butler County,31.751667,-86.681969
AL,Calhoun County,33.770516,-85.827909
AL,Chambers County,32.915504,-85.394032
AL,Cherokee County,34.069515,-85.654242
AL,Chilton County,32.854051,-86.726607
AL,Choctaw County,31.990954,-88.248889
AL,Clarke County,31.685521,-87.818624
AL,Clay County,33.2704,-85.863525
AL,Cleburne County,33.671964,-85.516126
AL,Coffee County,31.402258,-85.989602
AL,Colbert County,34.703112,-87.801457
AL,Conecuh County,31.430926,-86.988722
AL,Coosa County,32.931445,-86.243482
AL,Covington County,31.243987,-86.448721
AL,Crenshaw County,31.730311,-86.320038
AL,Cullman County,34.131923,-86.869267
AL,Dale County,31.430654,-85.609476
AL,Dallas County,32.333526,-87.11436
AL,DeKalb County,34.460915,-85.804021
AL,Elmore County,32.597229,-86.142735
AL,Escambia County,31.122287,-87.16841
AL,Etowah County,34.047641,-86.034263
AL,Fayette County,33.716157,-87.764292
AL,Franklin County,34.441989,-87.842814
AL,Geneva County,31.092382,-85.821022
AL,Greene County,32.844497,-87.9642
AL,Hale County,32.752796,-87.623061
AL,Henry County,31.516978,-85.239971
AL,Houston County,31.158183,-85.296411
AL,Jackson County,34.764114,-85.980056
AL,Jefferson County,33.553444,-86.896536
AL,Lamar County,33.787085,-88.087431
AL,Lauderdale County,34.904168,-87.651108
AL,Lawrence County,34.529776,-87.321865
AL,Lee County,32.604064,-85.353048
AL,Limestone County,34.810239,-86.981399
AL,Lowndes County,32.147888,-86.650586
AL,Macon County,32.387027,-85.692887
AL,Madison County,34.764238,-86.55108
AL,Marengo County,32.247591,-87.791091
AL,Marion County,34.138219,-87.881551
AL,Marshall County,34.309564,-86.321668
AL,Mobile County,30.684572,-88.196568
AL,Monroe County,31.580332,-87.383266
AL,Montgomery County,32.202881,-86.204461
AL,Morgan County,34.454484,-86.846402
AL,Perry County,32.639005,-87.293827
AL,Pickens County,33.2968,-88.096864
AL,Pike County,31.798653,-85.941608
AL,Randolph County,33.296461,-85.464064
AL,Russell County,32.289811,-85.18698
AL,St. Clair County,33.719491,-86.311327
AL,Shelby County,33.266893,-86.661007
AL,Sumter County,32.597481,-88.200057
AL,Talladega County,33.369314,-86.17593
AL,Tallapoosa County,32.863308,-85.799618
AL,Tuscaloosa County,33.29022,-87.522783
AL,Walker County,33.791558,-87.301094
AL,Washington County,31.408503,-88.212404
AL,Wilcox County,31.990082,-87.304935
AL,Winston County,34.154566,-87.365346
AK,Aleutians East Borough,55.245044,-161.997477
AK,Aleutians West Census Area,51.948964,179.621188
AK,Anchorage Municipality,61.17425,-149.284329
AK,Bethel Census Area,60.929141,-160.152625
