state,name,lat,lon
AL,Abanda,33.091627,-85.527029
AL,Abbeville,31.564706,-85.259121
AL,Adamsville,33.602315,-86.971527
AL,Addison,34.202681,-87.178004
AL,Akron,32.879066,-87.740899
AL,Alabaster,33.214355,-86.82308
AL,Albertville,34.26313,-86.21066
AL,Alexander City,32.92724,-85.937122
AL,Alexandria,33.760819,-85.872008
AL,Aliceville,33.123706,-88.159344
AL,Allgood,33.907623,-86.516109
AL,Altoona,34.040014,-86.305179
AL,Andalusia,31.309436,-86.478031
AL,Anderson,34.915675,-87.274274
AL,Anniston,33.673469,-85.810891
AL,Arab,34.332387,-86.501167
AL,Ardmore,34.987838,-86.829022
AL,Argo,33.691018,-86.505281
AL,Ariton,31.597772,-85.713061
AL,Arley,34.076234,-87.217831
AL,Ashford,31.185284,-85.236236
AL,Ashland,33.269892,-85.833706
AL,Ashville,33.835197,-86.270015
AL,Athens,34.779021,-86.950799
AL,Atmore,31.124067,-87.457798
AL,Attalla,33.986189,-86.121037
AL,Auburn,32.609539,-85.494735
AL,Autaugaville,32.432563,-86.658752
AL,Avon,31.179727,-85.279211
AL,Axis,30.922171,-88.02262
AL,Babbie,31.302083,-86.319437
AL,Baileyton,34.260858,-86.608788
AL,Bakerhill,31.776923,-85.295408
AL,Ballplay,34.023047,-85.801478
AL,Banks,31.813264,-85.836434
AL,Bay Minette,30.894436,-87.791306
AL,Bayou La Batre,30.407586,-88.263271
AL,Bear Creek,34.255481,-87.713399
AL,Beatrice,31.733309,-87.209046
AL,Beaverton,33.935411,-88.021778
AL,Belgreen,34.47454,-87.861678
AL,Belk,33.651641,-87.92861
AL,Bellamy,32.463658,-88.131481
AL,Belle Fontaine,30.489492,-88.10594
AL,Benton,32.307931,-86.817546
AL,Berlin,34.185005,-86.748955
AL,Berry,33.666702,-87.609311
AL,Bessemer,33.370858,-86.971522
AL,Billingsley,32.664711,-86.706713
AL,Birmingham,33.527174,-86.797036
AL,Black,31.00977,-85.74442
AL,Blountsville,34.075838,-86.583918
AL,Blue Ridge,32.4989,-86.182436
AL,Blue Springs,31.663516,-85.503526
AL,Boaz,34.19902,-86.155151
AL,Boligee,32.768081,-88.02859
AL,Bon Air,33.25937,-86.327148
AL,Bon Secour,30.318246,-87.72439
AL,Boykin,32.068375,-87.294343
AL,Brantley,31.581992,-86.256784
AL,Brantleyville,33.219303,-86.882522
AL,Brent,32.944893,-87.172088
AL,Brewton,31.109175,-87.076583
AL,Bridgeport,34.949312,-85.723765
AL,Brighton,33.439551,-86.945404
AL,Brilliant,34.025671,-87.769047
AL,Bristow Cove,34.109216,-86.240993
AL,Brook Highland,33.440378,-86.68488
AL,Brookside,33.634617,-86.906314
AL,Brookwood,33.239842,-87.331488
AL,Broomtown,34.365728,-85.532112
