state,state_universities,state_community_colleges,hs_graduation_rate,state_school_quality_index
AL,68,26,89.3,5.8
AK,8,3,86.5,6.0
AZ,77,21,89.0,5.5
AR,50,22,88.2,5.7
CA,456,116,87.0,6.2
CO,79,15,90.6,7.0
CT,44,12,92.3,7.8
DE,10,3,89.6,6.5
DC,20,1,73.0,5.5
FL,207,28,90.5,6.0
GA,131,26,87.3,5.9
HI,20,7,85.3,6.1
ID,18,4,91.8,6.5
IL,181,48,89.0,6.8
IN,95,14,87.8,6.3
IA,66,15,92.1,7.2
KS,63,26,88.9,6.5
KY,72,16,90.9,6.1
LA,78,13,84.1,5.4
ME,30,7,89.0,7.0
MD,56,16,88.2,7.2
MA,121,16,90.2,8.5
MI,105,29,82.3,6.5
MN,109,30,93.9,7.8
MS,38,15,88.4,5.2
MO,123,23,90.2,6.3
MT,23,7,92.6,6.8
NE,39,9,90.8,7.0
NV,22,4,84.1,5.3
NH,26,7,93.4,7.5
NJ,65,19,90.1,7.5
NM,40,19,76.9,5.0
NY,308,36,86.8,7.0
NC,134,58,87.6,6.2
ND,22,5,89.0,7.0
OH,205,25,86.1,6.5
OK,62,14,87.9,5.8
OR,60,17,82.6,6.4
PA,258,15,88.6,7.0
RI,13,1,86.7,6.8
SC,71,20,84.6,5.6
SD,25,4,89.9,6.7
TN,105,13,90.6,6.0
TX,262,70,90.0,6.2
UT,36,9,88.5,6.6
VT,22,1,93.6,7.3
VA,108,24,91.5,7.2
WA,82,34,83.3,6.6
WV,46,10,91.1,5.8
WI,77,16,90.1,7.2
WY,9,7,81.6,6.3
