station_name,station_lat,station_lon,avg_temp_summer,avg_temp_winter,sunny_days,annual_rainfall,annual_snow
"Birmingham, AL",33.57,-86.75,90,34,199,54,1
"Mobile, AL",30.69,-88.04,91,43,220,66,0
"Montgomery, AL",32.3,-86.4,91,38,210,52,0
"Huntsville, AL",34.73,-86.59,89,32,204,56,2
"Tuscaloosa, AL",33.21,-87.54,91,35,205,53,1
"Anchorage, AK",61.17,-150.02,62,12,152,17,75
"Fairbanks, AK",64.84,-147.72,68,-12,160,11,65
"Juneau, AK",58.3,-134.42,58,24,86,62,86
"Sitka, AK",57.05,-135.33,56,32,90,86,33
"Kodiak, AK",57.79,-152.41,55,28,95,74,69
"Barrow, AK",71.29,-156.79,42,-16,120,5,28
"Nome, AK",64.5,-165.41,52,-2,115,18,56
"Phoenix, AZ",33.43,-112.02,106,44,299,8,0
"Tucson, AZ",32.13,-110.95,100,41,286,12,1
"Flagstaff, AZ",35.14,-111.67,79,16,266,22,100
"Yuma, AZ",32.69,-114.62,107,48,313,3,0
"Prescott, AZ",34.54,-112.47,88,27,277,19,22
"Sedona, AZ",34.87,-111.76,95,32,280,17,8
"Lake Havasu City, AZ",34.48,-114.32,108,45,303,4,0
"Sierra Vista, AZ",31.55,-110.3,92,36,284,15,3
"Little Rock, AR",34.75,-92.29,93,32,217,50,4
"Fort Smith, AR",35.39,-94.42,93,30,220,45,5
"Fayetteville, AR",36.08,-94.16,89,27,215,47,8
"Hot Springs, AR",34.5,-93.06,92,33,218,55,3
"Los Angeles, CA",33.94,-118.41,84,49,284,15,0
"San Diego, CA",32.73,-117.17,76,50,267,10,0
"San Francisco, CA",37.62,-122.38,68,46,259,23,0
"San Jose, CA",37.36,-121.93,82,43,257,16,0
"Sacramento, CA",38.51,-121.5,93,39,269,20,0
"Fresno, CA",36.78,-119.72,99,39,271,11,0
"Oakland, CA",37.72,-122.22,72,45,260,24,0
"Long Beach, CA",33.82,-118.15,80,50,280,12,0
"Bakersfield, CA",35.43,-119.06,99,41,272,7,0
"Anaheim, CA",33.84,-117.89,85,47,281,14,0
"Santa Barbara, CA",34.43,-119.84,74,48,283,18,0
"Palm Springs, CA",33.83,-116.55,108,47,304,6,0
"Redding, CA",40.52,-122.3,98,38,253,34,4
"Eureka, CA",40.8,-124.16,60,43,160,40,0
"Lake Tahoe, CA",39.1,-120.04,75,22,252,32,195
"Death Valley, CA",36.46,-116.87,116,46,305,2,0
"Bishop, CA",37.36,-118.4,94,28,275,5,10
"Mammoth Lakes, CA",37.65,-119.03,72,18,260,25,200
"Mount Shasta, CA",41.31,-122.31,82,29,245,38,104
"Monterey, CA",36.6,-121.89,66,46,256,20,0
"Santa Rosa, CA",38.51,-122.81,81,41,255,32,0
"Riverside, CA",33.95,-117.4,96,44,287,10,0
"Stockton, CA",37.9,-121.29,93,40,265,14,0
"Modesto, CA",37.64,-121.0,95,40,264,13,0
"Denver, CO",39.86,-104.67,88,20,245,16,57
"Colorado Springs, CO",38.81,-104.71,84,18,243,17,45
"Boulder, CO",40.01,-105.27,85,20,245,20,88
"Fort Collins, CO",40.59,-105.08,85,18,242,16,52
"Pueblo, CO",38.29,-104.52,91,21,250,12,30
"Grand Junction, CO",39.12,-108.53,93,22,243,9,26
"Aspen, CO",39.19,-106.82,75,8,235,23,175
"Durango, CO",37.28,-107.88,82,14,245,19,67
"Vail, CO",39.64,-106.37,72,6,232,22,190
"Telluride, CO",37.94,-107.81,72,6,240,23,170
"Steamboat Springs, CO",40.49,-106.83,76,6,230,25,165
"Glenwood Springs, CO",39.55,-107.32,86,18,240,17,58
"Alamosa, CO",37.47,-105.87,81,4,245,8,32
"Hartford, CT",41.94,-72.68,84,19,198,47,40
"New Haven, CT",41.27,-72.89,82,23,201,48,32
"Bridgeport, CT",41.21,-73.2,82,24,203,46,28
"Stamford, CT",41.05,-73.54,83,24,205,47,26
