state,violent_crime_rate_100k,property_crime_rate_100k,violent_crime_rate,property_crime_rate,total_crime_rate
AL,453,2742,4.53,27.42,31.95
AK,838,2929,8.38,29.29,37.67
AZ,443,2444,4.43,24.44,28.87
AR,579,3270,5.79,32.7,38.49
CA,500,2489,5.0,24.89,29.89
CO,423,3332,4.23,33.32,37.55
CT,184,1598,1.84,15.98,17.82
DE,431,2434,4.31,24.34,28.65
DC,812,4026,8.12,40.26,48.38
FL,384,2046,3.84,20.46,24.3
GA,400,2431,4.0,24.31,28.31
HI,255,2984,2.55,29.84,32.39
ID,242,1531,2.42,15.31,17.73
IL,425,1735,4.25,17.35,21.6
IN,382,2157,3.82,21.57,25.39
IA,266,1856,2.66,18.56,21.22
KS,410,2662,4.1,26.62,30.72
KY,212,1734,2.12,17.34,19.46
LA,639,2936,6.39,29.36,35.75
ME,109,1329,1.09,13.29,14.38
MD,454,2066,4.54,20.66,25.2
MA,308,1163,3.08,11.63,14.71
MI,449,1756,4.49,17.56,22.05
MN,281,2215,2.81,22.15,24.96
MS,291,2291,2.91,22.91,25.82
MO,543,2905,5.43,29.05,34.48
MT,469,2739,4.69,27.39,32.08
NE,285,2017,2.85,20.17,23.02
NV,460,2325,4.6,23.25,27.85
NH,146,1176,1.46,11.76,13.22
NJ,206,1334,2.06,13.34,15.4
NM,780,3488,7.8,34.88,42.68
NY,364,1401,3.64,14.01,17.65
NC,419,2470,4.19,24.7,28.89
ND,267,2434,2.67,24.34,27.01
OH,309,2232,3.09,22.32,25.41
OK,458,2889,4.58,28.89,33.47
OR,292,3040,2.92,30.4,33.32
PA,310,1429,3.1,14.29,17.39
RI,181,1462,1.81,14.62,16.43
SC,530,2884,5.3,28.84,34.14
SD,399,1686,3.99,16.86,20.85
TN,620,2872,6.2,28.72,34.92
TX,446,2562,4.46,25.62,30.08
UT,233,2659,2.33,26.59,28.92
VT,173,1384,1.73,13.84,15.57
VA,227,1594,2.27,15.94,18.21
WA,394,3245,3.94,32.45,36.39
WV,315,1692,3.15,16.92,20.07
WI,324,1626,3.24,16.26,19.5
WY,234,1679,2.34,16.79,19.13
