state,state_income_tax_rate,state_sales_tax_rate,avg_property_tax_rate,no_income_tax_state
AL,5.0,4.0,0.41,False
AK,0.0,0.0,1.19,True
AZ,2.5,5.6,0.62,False
AR,4.9,6.5,0.62,False
CA,13.3,7.25,0.74,False
CO,4.4,2.9,0.51,False
CT,6.99,6.35,2.14,False
DE,6.6,0.0,0.57,False
FL,0.0,6.0,0.89,True
GA,5.75,4.0,0.92,False
HI,11.0,4.0,0.28,False
ID,5.8,6.0,0.69,False
IL,4.95,6.25,2.27,False
IN,3.15,7.0,0.85,False
IA,5.7,6.0,1.57,False
KS,5.7,6.5,1.41,False
KY,4.5,6.0,0.86,False
LA,4.25,4.45,0.55,False
ME,7.15,5.5,1.36,False
MD,5.75,6.0,1.09,False
MA,5.0,6.25,1.23,False
MI,4.25,6.0,1.54,False
MN,9.85,6.875,1.12,False
MS,5.0,7.0,0.81,False
MO,4.95,4.225,0.97,False
MT,6.75,0.0,0.84,False
NE,6.84,5.5,1.73,False
NV,0.0,6.85,0.6,True
NH,0.0,0.0,2.18,True
NJ,10.75,6.625,2.49,False
NM,5.9,5.125,0.8,False
NY,10.9,4.0,1.72,False
NC,5.25,4.75,0.84,False
ND,2.9,5.0,0.98,False
OH,3.99,5.75,1.59,False
OK,4.75,4.5,0.9,False
OR,9.9,0.0,0.97,False
PA,3.07,6.0,1.58,False
RI,5.99,7.0,1.63,False
SC,6.4,6.0,0.57,False
SD,0.0,4.5,1.31,True
TN,0.0,7.0,0.71,True
TX,0.0,6.25,1.8,True
UT,4.85,6.1,0.63,False
VT,8.75,6.0,1.9,False
VA,5.75,5.3,0.82,False
WA,0.0,6.5,0.98,True
WV,6.5,6.0,0.58,False
WI,7.65,5.0,1.85,False
WY,0.0,4.0,0.61,True
DC,10.75,6.0,0.56,False
